naziv,sifra,marka,jedinica_mjere,cijena_za_jedinicu_mjere,maloprodajna_cijena,posebni_oblik_prodaje,naziv_posebnog_oblika_prodaje,sidrena_cijena,barkod,dostupnost
ResMed AirFit N30i zamjenski jastučić za CPAP masku Wide - Small-Wide,Product_ad0ca484-8f27-43bb-a768-4013c874af9d-Small-Wide,ResMed,,,55.00,NE,,55.00,,nedostupno
ResMed AirFit N30i zamjenski jastučić za CPAP masku Wide - Wide,01MT1026,ResMed,,,55.00,NE,,55.00,,dostupno
Resmed Airfit P10 CPAP maska s nazalnim jastučićem,1422,ResMed,,,105.00,NE,,105.00,,nedostupno
ResMed Airfit P30i CPAP maska s nazalnim jastučićima - Small okvir sa small jastučićem,Product_ef7fce28-1741-4233-8b7a-b341f3b35d6e-Small-okvir-sa-small-jastucicem,ResMed,,,115.00,NE,,115.00,,nedostupno
ResMed Airfit P30i CPAP maska s nazalnim jastučićima - Standard okvir Medium jastučić,Product_ef7fce28-1741-4233-8b7a-b341f3b35d6e-Standard-okvir-Medium-jastucic,ResMed,,,115.00,NE,,115.00,,nedostupno
ResMed Airfit P30i CPAP maska s nazalnim jastučićima - Standard okvir Wide jastučić,Product_ef7fce28-1741-4233-8b7a-b341f3b35d6e-Standard-okvir-Wide-jastucic,ResMed,,,115.00,NE,,115.00,,nedostupno
ResMed AirSense 10 AutoSet Auto CPAP uređaj,Product_6c7b5103-e24f-4c7a-b34c-2ee424a90a7d,ResMed,,,700.00,NE,,700.00,,nedostupno
ResMed AirSense 11 AutoSet Auto CPAP uređaj,Product_fa429736-878e-41db-b13e-0cccf6bdcaf9,ResMed,,,830.00,NE,,830.00,,nedostupno
ResMed AirSense 11 standardna CPAP posuda za vodu (ovlaživač),Product_166b89af-ad2f-4474-b034-1c78ad075a49,ResMed,,,150.00,NE,,150.00,,nedostupno
ResMed ClimateLineAir 11 grijano crijevo za AirSense 11,Product_c94986cc-093a-4640-9a16-d7ce2bdff020,ResMed,,,100.00,NE,,100.00,,nedostupno
ResMed Gecko jastučić za nos za CPAP maske - Large,01MT0423,ResMed,,,39.00,NE,,39.00,,dostupno
ResMed Gecko jastučić za nos za CPAP maske - Small,01MT0422,ResMed,,,39.00,NE,,39.00,,dostupno
ResMed HumidAir grijani CPAP ovlaživač zraka za AirSense 10 i AirCurve 10,01MT1061,ResMed,,,100.00,NE,,100.00,,nedostupno
"ResMed Mirage FX for Her, nazalna CPAP maska za žene - Small",Product_978cd413-a370-42c5-aac9-211d62af9ffe-Small,ResMed,,,69.00,NE,,69.00,,nedostupno
"ResMed Mirage FX for Her, nazalna CPAP maska za žene - Standard",01MT0117,ResMed,,,69.00,NE,,69.00,,dostupno
"ResMed Mirage FX, nazalna CPAP maska - Standard",01MT0116,ResMed,,,69.00,NE,,69.00,619498621170,dostupno
"ResMed Mirage FX, nazalna CPAP maska - Široka",Product_c8469b14-a61e-4128-8ad1-6a0ffcdad370-Siroka,ResMed,,,69.00,NE,,69.00,,dostupno
Ring O2 pulsni oksimetar,OXY-O2RING,Lepu Medical,,,170.00,NE,,170.00,,dostupno
Robooter X40 sklopiva električna ivalidska kolica,875040,,,,3099.00,NE,,3099.00,,nedostupno
Robust invalidska kolica,874002,Identites,,,230.00,NE,,230.00,,nedostupno
Ručka za kadu vakum 815230,OXY-815230,Identites,,,32.90,NE,,32.90,,nedostupno
Scooter Traveler Plus,824054,Identites,,,1699.00,NE,,1699.00,,nedostupno
Senzorska noćna prostirka - 100cm*50cm,819236,,,,195.00,NE,,195.00,,nedostupno
Senzorska noćna prostirka - 80cm*40cm,819241,,,,170.00,NE,,170.00,,nedostupno
Separator prsta,1443,Deramed,,,4.90,NE,,4.90,,dostupno
Separator prsta 115049.S,OXY-115049.S,Deramed,,,4.90,NE,,4.90,,dostupno
Separator prsta 115050.S,OXY-115050.S,Deramed,,,9.00,NE,,9.00,,dostupno
Separator prsta 115051.S,OXY-115051.S,Identites,,,5.90,NE,,5.90,,dostupno
Separator prsta 115052,OXY-115052,Deramed,,,9.90,NE,,9.90,,dostupno
Separator prsta 115053,OXY-115053,Deramed,,,8.90,NE,,8.90,,dostupno
Separator prsta 115054,OXY-115054,Deramed,,,0.00,NE,,0.00,,nedostupno
Separator prsta 115056.S,OXY-115056.S,Deramed,,,7.90,NE,,7.90,,dostupno
Separator prsta 115057.S,6908243,Deramed,,,5.18,NE,,5.18,,dostupno
Siguronosni rukohvat 815080 - 30 cm,OXY-815080,Identites,,,9.80,NE,,9.80,,dostupno
